loan_id,age,annual_income,employment_length,home_ownership,credit_score,num_credit_lines,delinquencies_2yrs,credit_utilization,inquiries_6months,loan_purpose,loan_amount,offered_rate,offer_accepted,default
79,27,53000,6-10 years,RENT,663,12,0,17.7,2,credit_card,6000,0.11088578105753252,0,NA
80,25,21000,1-2 years,MORTGAGE,737,5,0,56.8,0,home_improvement,10500,0.0901257239808319,1,0
81,56,174000,3-5 years,MORTGAGE,680,5,1,94,1,debt_consolidation,17000,0.13,0,NA
82,41,16000,< 1 year,MORTGAGE,605,12,0,9.1,0,major_purchase,6000,0.14600238595624623,0,NA
83,39,46000,< 1 year,RENT,745,6,1,50.9,0,home_improvement,11000,0.09030231069917437,1,0
84,37,165000,10+ years,MORTGAGE,693,6,0,63.8,2,car,10000,0.09,1,0
85,24,26000,3-5 years,OWN,739,11,1,41.6,1,home_improvement,12000,0.08028080803965804,1,1
86,45,29000,10+ years,RENT,630,6,0,34.3,3,debt_consolidation,14500,0.14797694711118264,1,0
87,35,14000,10+ years,OWN,730,8,0,40.9,0,debt_consolidation,7000,0.1,1,0
88,36,20000,10+ years,RENT,612,8,1,31.9,1,debt_consolidation,4000,0.12,1,1
89,49,26000,6-10 years,MORTGAGE,709,7,0,13.5,0,home_improvement,13000,0.1238019858235164,0,NA
90,48,19000,3-5 years,OWN,712,7,0,28.2,1,medical,2000,0.09,1,0
91,55,61000,< 1 year,MORTGAGE,576,10,0,62.8,1,credit_card,30500,0.1344592703060827,0,NA
92,32,119000,10+ years,RENT,737,7,1,34.8,0,debt_consolidation,3000,0.08426132529078799,1,0
93,46,29000,6-10 years,RENT,580,11,1,54.8,0,credit_card,14500,0.18727501799079851,1,1
94,55,25000,1-2 years,MORTGAGE,613,15,1,42.8,1,debt_consolidation,12500,0.14549976212329563,0,NA
95,25,99000,1-2 years,MORTGAGE,762,11,0,34.3,2,debt_consolidation,20000,0.09807280584385548,1,0
96,28,20000,1-2 years,MORTGAGE,677,5,1,22.7,0,debt_consolidation,10000,0.13,1,0
97,24,60000,1-2 years,RENT,729,7,0,40.7,1,credit_card,4000,0.1,1,0
98,20,78000,6-10 years,MORTGAGE,690,7,0,58.7,0,debt_consolidation,17000,0.11163854379659897,1,0
99,39,168000,3-5 years,RENT,542,8,0,22.3,0,credit_card,19000,0.16887035170671688,0,NA
100,46,65000,< 1 year,RENT,581,7,1,18.5,0,major_purchase,4000,0.18610792539568394,0,NA
101,52,30000,6-10 years,RENT,610,6,2,37.3,1,debt_consolidation,13000,0.12,1,0
102,51,110000,10+ years,MORTGAGE,648,6,0,15.3,0,credit_card,33000,0.1763562137446289,0,NA
103,26,19000,6-10 years,MORTGAGE,723,7,1,11.4,0,credit_card,9500,0.02,1,0
104,60,68000,3-5 years,OWN,619,12,0,14,0,credit_card,9000,0.17475433236696608,0,NA
105,30,52000,< 1 year,MORTGAGE,666,5,0,55.5,0,credit_card,26000,0.1051974695355571,1,0
106,39,12000,1-2 years,RENT,719,4,0,46.9,1,debt_consolidation,6000,0.09206712738472225,1,0
107,33,47000,1-2 years,RENT,632,5,0,48.1,3,home_improvement,23500,0.13646042730689406,1,1
108,37,62000,6-10 years,RENT,803,13,1,82.2,1,credit_card,30000,0.07235303779957564,1,0
109,40,49000,3-5 years,OWN,677,9,1,36.9,0,major_purchase,24500,0.1087936827582239,1,1
110,39,124000,3-5 years,RENT,801,7,1,53.6,0,car,37000,0.06677626466812908,1,0
111,38,37000,1-2 years,MORTGAGE,661,7,0,40.3,4,debt_consolidation,18500,0.09045278320656497,1,1
112,39,21000,6-10 years,MORTGAGE,607,7,0,90.4,2,home_improvement,10500,0.2206462245165346,0,NA
113,32,41000,1-2 years,RENT,811,3,1,49.4,1,home_improvement,3000,0.0757480231736089,1,1
114,32,54000,< 1 year,MORTGAGE,773,9,1,47.1,0,major_purchase,27000,0.09592774902276782,1,0
115,18,12000,1-2 years,MORTGAGE,759,4,0,36.1,0,debt_consolidation,5000,0.057088513633788945,1,0
116,33,39000,1-2 years,MORTGAGE,842,6,0,66.7,0,debt_consolidation,19500,0.08634345256674256,1,0
117,32,72000,10+ years,OTHER,731,6,1,57.1,0,credit_card,22000,0.0829026999485579,1,0
118,70,46000,1-2 years,MORTGAGE,688,9,1,5,1,medical,23000,0.13,0,NA
119,22,70000,10+ years,MORTGAGE,707,13,0,78.5,1,other,35000,0.09,1,1
120,40,123000,6-10 years,RENT,567,16,0,4.4,0,credit_card,21000,0.14716933949117864,0,NA
121,20,16000,< 1 year,RENT,553,10,1,13,0,home_improvement,2000,0.18409750496558147,1,0
122,20,115000,6-10 years,RENT,708,8,0,47.7,1,debt_consolidation,20000,0.11613038167475132,1,0
123,39,76000,3-5 years,MORTGAGE,647,6,0,33.3,3,debt_consolidation,2000,0.14482793815191672,0,NA
124,26,113000,< 1 year,RENT,732,11,0,56.8,1,credit_card,31000,0.1,1,0
125,38,73000,1-2 years,RENT,637,8,0,26.7,0,major_purchase,30000,0.1537007184379534,0,NA
126,33,52000,6-10 years,RENT,817,16,0,10.3,1,credit_card,13000,0.1,1,0
127,31,154000,6-10 years,MORTGAGE,671,4,0,57.8,0,small_business,32000,0.09,0,NA
128,18,43000,1-2 years,MORTGAGE,495,7,0,12.7,0,debt_consolidation,21500,0.1389230738959362,0,NA
129,23,15000,< 1 year,RENT,815,3,0,20.8,1,medical,7500,0.07073531905863517,1,1
130,40,51000,6-10 years,MORTGAGE,714,12,0,51.3,2,small_business,17000,0.09,1,0
131,45,15000,10+ years,MORTGAGE,696,7,0,66,2,credit_card,7500,0.09154205191740511,1,0
132,32,113000,3-5 years,RENT,643,7,2,77,3,home_improvement,11000,0.1846625203163006,0,NA
133,38,21000,3-5 years,MORTGAGE,733,6,0,50,2,debt_consolidation,10500,0.1,1,1
134,51,101000,1-2 years,MORTGAGE,723,11,0,35.6,0,debt_consolidation,25000,0.1,1,0
135,55,32000,< 1 year,MORTGAGE,759,5,0,61.8,1,other,16000,0.07679519933939953,1,0
136,25,40000,1-2 years,MORTGAGE,698,7,0,71.2,1,home_improvement,20000,0.09757515095437161,1,0
137,37,120000,3-5 years,OWN,675,10,0,19.2,1,debt_consolidation,13000,0.09,0,NA
138,52,65000,3-5 years,RENT,706,16,0,8.9,0,debt_consolidation,32500,0.11986179161742114,0,NA
139,32,22000,1-2 years,RENT,573,4,1,16.1,0,credit_card,11000,0.13882326834814426,1,1
140,37,44000,6-10 years,RENT,702,9,0,62.1,0,major_purchase,21000,0.09788466575206164,1,0
141,37,40000,6-10 years,MORTGAGE,664,3,0,93.2,1,home_improvement,20000,0.12107496320033069,1,1
142,27,29000,6-10 years,RENT,833,5,0,8.3,2,small_business,7000,0.1,1,0
143,33,72000,1-2 years,RENT,666,5,1,15.3,1,credit_card,21000,0.12162753470712648,1,0
144,38,239000,1-2 years,OTHER,712,11,0,30,0,major_purchase,33000,0.13,0,NA
145,33,25000,6-10 years,OTHER,620,6,0,52.5,1,major_purchase,12500,0.13756012200581388,1,1
146,51,43000,1-2 years,MORTGAGE,609,6,1,52.6,0,debt_consolidation,21500,0.17910488143086156,0,NA
147,32,244000,3-5 years,MORTGAGE,583,8,0,28.4,0,credit_card,12000,0.15880571393165022,0,NA
148,33,56000,3-5 years,RENT,625,8,0,28.5,1,medical,10000,0.13765433166502924,0,NA
149,46,40000,< 1 year,MORTGAGE,573,12,0,52.6,0,home_improvement,9000,0.15578229345596653,0,NA
150,25,49000,3-5 years,MORTGAGE,699,7,1,48.7,0,credit_card,9000,0.09,1,0
151,38,18000,< 1 year,RENT,659,12,1,46.1,0,major_purchase,3000,0.09,1,0
152,19,45000,10+ years,RENT,613,10,0,74.4,1,major_purchase,22500,0.16300787633673247,0,NA
153,52,26000,6-10 years,RENT,722,18,0,58.2,1,major_purchase,13000,0.05160363385871804,1,0
154,35,23000,3-5 years,MORTGAGE,675,6,0,26.9,0,home_improvement,11500,0.09385242740562874,1,1
155,32,56000,10+ years,MORTGAGE,497,14,1,12.5,2,credit_card,7000,0.19006974121012682,0,NA
156,23,31000,< 1 year,RENT,615,7,0,33.9,1,home_improvement,15500,0.12,1,1
157,38,66000,10+ years,RENT,707,8,1,68.4,0,major_purchase,23000,0.09,1,0
158,28,64000,10+ years,MORTGAGE,594,6,0,15.7,2,debt_consolidation,27000,0.17542381902397913,0,NA
159,32,61000,10+ years,RENT,707,8,1,35.5,1,debt_consolidation,29000,0.1257225383037152,1,1
160,53,53000,3-5 years,RENT,718,14,0,23.7,0,debt_consolidation,8000,0.13,0,NA
161,36,67000,1-2 years,OWN,608,8,0,37.5,2,debt_consolidation,33500,0.1610749650827076,0,NA
162,25,25000,3-5 years,MORTGAGE,674,9,0,65.5,0,debt_consolidation,12500,0.11336652466324461,1,1
163,40,23000,1-2 years,RENT,740,9,1,20,0,major_purchase,4000,0.0710222268323713,1,0
164,34,31000,1-2 years,MORTGAGE,707,3,0,35.4,1,medical,15500,0.11495878148101801,0,NA
165,45,97000,10+ years,MORTGAGE,800,7,0,38,1,debt_consolidation,27000,0.04897150497156223,1,0
166,55,48000,6-10 years,RENT,729,9,2,23.8,0,small_business,10000,0.09615124161873147,0,NA
167,26,44000,3-5 years,MORTGAGE,705,8,0,35.9,1,small_business,3000,0.13,1,0
168,43,43000,1-2 years,RENT,637,6,0,51.2,1,car,21500,0.12495570212532095,1,0
169,39,52000,< 1 year,MORTGAGE,717,4,1,68.8,5,debt_consolidation,26000,0.10652597286097454,1,1
170,49,67000,< 1 year,MORTGAGE,512,12,1,82,1,debt_consolidation,6000,0.18160443215423128,1,0
171,35,50000,3-5 years,OWN,715,11,0,42.2,0,small_business,25000,0.09385242065361207,0,NA
172,48,88000,1-2 years,OWN,673,6,0,54,0,home_improvement,18000,0.13,0,NA
173,18,104000,< 1 year,RENT,686,4,0,44.8,1,medical,20000,0.11676107387022161,0,NA
174,58,93000,1-2 years,MORTGAGE,716,7,1,44.2,1,small_business,12000,0.13,0,NA
175,48,54000,1-2 years,RENT,664,10,1,53.2,1,home_improvement,16000,0.09,1,0
176,36,115000,10+ years,RENT,700,8,0,21,0,home_improvement,31000,0.09592343895557179,1,0
177,21,54000,3-5 years,OWN,697,9,0,11.9,1,major_purchase,24000,0.09,1,0
178,46,56000,3-5 years,RENT,622,9,2,7.1,1,debt_consolidation,24000,0.1229340872595176,0,NA
179,44,53000,3-5 years,MORTGAGE,635,2,0,66.5,2,credit_card,21000,0.19865601091534874,0,NA
180,38,76000,6-10 years,MORTGAGE,636,6,0,42.2,1,small_business,23000,0.17521762051822504,0,NA
181,40,34000,10+ years,MORTGAGE,688,11,1,23.9,1,small_business,17000,0.09187328536366597,1,0
182,31,30000,6-10 years,OWN,765,3,0,62.6,1,debt_consolidation,15000,0.1,1,1
183,42,131000,3-5 years,MORTGAGE,680,10,1,80.8,1,credit_card,17000,0.09281320154198644,1,1
184,42,22000,3-5 years,MORTGAGE,711,13,0,13.2,0,debt_consolidation,11000,0.11369616830974309,0,NA
185,35,106000,3-5 years,MORTGAGE,618,11,0,32.1,2,home_improvement,3000,0.12,0,NA
186,22,19000,1-2 years,MORTGAGE,694,5,0,47.5,0,credit_card,9500,0.10031258995615804,1,0
187,46,145000,10+ years,MORTGAGE,669,5,1,40.5,0,debt_consolidation,25000,0.12046285373034693,1,0
188,45,47000,3-5 years,MORTGAGE,710,9,0,53.2,1,credit_card,23000,0.09,1,0
189,28,209000,10+ years,OWN,611,11,0,31.2,0,debt_consolidation,39000,0.12,0,NA
190,19,60000,1-2 years,RENT,713,8,0,57.3,1,major_purchase,12000,0.09219067326510949,1,0
191,40,34000,< 1 year,RENT,666,4,0,18.8,2,medical,17000,0.09,1,0
192,34,83000,3-5 years,OTHER,791,9,0,48.3,0,home_improvement,15000,0.08677447385101486,1,1
193,41,57000,10+ years,MORTGAGE,693,9,0,21.7,1,medical,3000,0.12621060036494675,0,NA
194,22,75000,1-2 years,RENT,629,13,1,74.9,2,debt_consolidation,15000,0.1523945716456063,1,0
195,26,57000,10+ years,RENT,715,6,1,33.2,0,home_improvement,28500,0.09577517737592847,1,1
196,51,113000,3-5 years,OWN,661,7,1,77.8,1,debt_consolidation,28000,0.13,1,1
197,43,87000,3-5 years,OWN,612,8,0,48.6,0,debt_consolidation,14000,0.17079152132454847,0,NA
198,45,39000,3-5 years,RENT,697,7,0,27.8,0,home_improvement,19500,0.13,0,NA
199,60,57000,< 1 year,MORTGAGE,653,6,0,33.5,0,major_purchase,28500,0.1118800469820363,1,0
200,40,131000,< 1 year,RENT,715,9,0,15.4,1,credit_card,20000,0.09350287576755206,1,0
201,18,55000,10+ years,RENT,736,7,0,70.2,1,car,16000,0.08460806406620618,1,0
202,42,103000,10+ years,MORTGAGE,646,14,0,37.4,0,debt_consolidation,3000,0.19355762653256564,0,NA
203,52,95000,3-5 years,MORTGAGE,481,10,0,33.8,1,credit_card,1000,0.1706482920640113,0,NA
204,63,57000,6-10 years,RENT,654,6,0,45.3,2,credit_card,26000,0.10612190614676985,1,0
205,21,81000,3-5 years,MORTGAGE,610,13,1,56.6,2,home_improvement,32000,0.1360869613556056,1,0
206,24,35000,6-10 years,MORTGAGE,674,10,0,12.2,1,credit_card,17500,0.09,1,0
207,30,48000,6-10 years,MORTGAGE,651,5,0,21,0,credit_card,20000,0.12350036983276783,1,0
208,25,157000,1-2 years,RENT,762,11,0,52,0,small_business,6000,0.0707260125211434,1,0
209,30,57000,10+ years,MORTGAGE,700,5,2,25.1,0,small_business,15000,0.09,1,0
210,36,104000,10+ years,MORTGAGE,694,8,0,70.6,0,home_improvement,20000,0.09,1,0
211,24,38000,6-10 years,MORTGAGE,685,7,0,21,0,debt_consolidation,19000,0.09,0,NA
212,62,12000,6-10 years,MORTGAGE,586,12,0,67.3,1,other,6000,0.14598155621178224,1,0
213,39,29000,< 1 year,RENT,850,9,1,62.8,3,home_improvement,6000,0.06348766283768549,1,0
214,37,43000,< 1 year,RENT,597,8,0,45.6,3,debt_consolidation,4000,0.16381663052853182,0,NA
215,44,24000,3-5 years,RENT,662,9,0,40.5,0,major_purchase,12000,0.13,1,1
216,38,81000,6-10 years,RENT,660,5,0,68.9,1,credit_card,7000,0.09670684259204035,1,0
217,36,49000,1-2 years,RENT,669,9,1,35.3,1,credit_card,10000,0.1278577226816972,1,1
218,56,27000,6-10 years,RENT,616,14,0,18.4,0,home_improvement,13500,0.12,0,NA
219,35,94000,6-10 years,MORTGAGE,692,1,1,10.5,0,debt_consolidation,33000,0.107768084595572,0,NA
220,23,40000,6-10 years,MORTGAGE,707,4,1,36,2,debt_consolidation,20000,0.13,0,NA
221,43,24000,10+ years,RENT,656,11,0,56,1,other,12000,0.13,1,0
222,34,46000,3-5 years,RENT,604,6,0,40.5,1,other,18000,0.14556512472979433,1,0
223,32,54000,< 1 year,RENT,790,8,1,23.9,1,home_improvement,27000,0.08789372785466715,1,0
224,25,205000,6-10 years,MORTGAGE,640,9,0,51.2,2,major_purchase,30000,0.14025500954558318,0,NA
225,43,57000,3-5 years,RENT,540,11,0,2.4,0,debt_consolidation,14000,0.12568751377198878,0,NA
226,36,39000,3-5 years,MORTGAGE,692,10,1,18.1,1,home_improvement,11000,0.1182914777304217,1,1
227,44,27000,< 1 year,OWN,680,7,0,17.7,0,debt_consolidation,13500,0.10239220829109652,1,0
228,35,54000,10+ years,MORTGAGE,537,6,2,85.5,1,debt_consolidation,4000,0.15099642792401766,0,NA
229,30,40000,10+ years,RENT,699,15,1,70.8,1,home_improvement,20000,0.13,0,NA
230,53,81000,10+ years,RENT,666,7,1,50.7,2,debt_consolidation,32000,0.11548850329198435,1,0
231,35,58000,1-2 years,OWN,850,9,0,67,0,home_improvement,9000,0.03918683358923072,1,0
232,49,117000,10+ years,MORTGAGE,695,9,1,55.6,3,major_purchase,39000,0.09158848702456275,1,0
233,24,56000,10+ years,MORTGAGE,657,0,0,70.4,1,home_improvement,8000,0.09,1,1
234,32,21000,6-10 years,RENT,724,6,0,4.1,1,debt_consolidation,10500,0.08544536545777685,1,0
235,35,29000,6-10 years,MORTGAGE,595,2,0,69.6,1,debt_consolidation,14500,0.12,0,NA
236,33,48000,6-10 years,MORTGAGE,755,9,0,65.3,1,home_improvement,10000,0.05964833815159873,1,0
237,54,70000,3-5 years,RENT,800,6,1,33.5,1,credit_card,9000,0.0663718529314502,1,1
238,38,213000,6-10 years,MORTGAGE,688,8,1,4.9,0,other,36000,0.13,0,NA
239,41,73000,6-10 years,MORTGAGE,748,2,0,39.2,0,debt_consolidation,5000,0.05689330721595647,1,0
240,27,70000,6-10 years,RENT,654,10,1,37.5,2,debt_consolidation,35000,0.0994127019144437,1,0
241,29,23000,6-10 years,RENT,653,8,1,41.2,1,major_purchase,11500,0.12616092214622637,1,0
242,50,61000,< 1 year,MORTGAGE,659,7,0,34.8,1,debt_consolidation,17000,0.1110270396320081,1,1
243,53,22000,1-2 years,RENT,692,6,0,36.4,1,debt_consolidation,11000,0.09,1,0
244,53,35000,< 1 year,MORTGAGE,757,7,0,50.9,2,debt_consolidation,10000,0.09067094173834746,1,0
245,21,82000,6-10 years,MORTGAGE,714,7,0,50.1,1,debt_consolidation,12000,0.09509158550685858,1,0
246,63,87000,6-10 years,MORTGAGE,711,6,1,28.6,1,home_improvement,11000,0.09298925907027461,1,1
247,50,38000,3-5 years,OWN,696,5,0,14.6,0,debt_consolidation,19000,0.11436941438536176,1,0
248,38,35000,< 1 year,MORTGAGE,705,2,0,45.5,0,debt_consolidation,14000,0.13,1,0
249,46,42000,6-10 years,RENT,648,4,1,24.3,0,credit_card,21000,0.1413032142689718,1,0
250,26,153000,6-10 years,RENT,672,11,0,38,1,debt_consolidation,1000,0.09879905100381499,0,NA
251,25,10000,< 1 year,MORTGAGE,645,10,0,68.6,0,home_improvement,5000,0.17185002394142265,0,NA
252,39,45000,1-2 years,RENT,735,6,2,21.4,1,other,9000,0.08701877979246404,1,0
253,24,95000,1-2 years,RENT,599,9,1,49.6,2,major_purchase,3000,0.12,0,NA
254,40,44000,1-2 years,RENT,594,4,1,21.5,0,major_purchase,3000,0.12,1,0
255,54,24000,6-10 years,RENT,661,7,0,73.5,1,debt_consolidation,12000,0.13,1,0
256,26,72000,< 1 year,OWN,749,11,0,41.3,1,credit_card,35000,0.09507908207760833,1,0
257,29,83000,1-2 years,RENT,822,8,0,34.6,0,medical,8000,0.1,1,0
258,39,23000,1-2 years,MORTGAGE,601,11,0,34.9,0,major_purchase,1000,0.12977446652674499,1,0
259,26,41000,10+ years,MORTGAGE,633,5,0,23.5,1,debt_consolidation,19000,0.12,1,1
260,33,73000,1-2 years,MORTGAGE,575,8,1,58.9,1,credit_card,36500,0.12271687590985189,1,1
261,48,31000,6-10 years,MORTGAGE,775,8,0,41,0,home_improvement,15500,0.07127802972270175,1,0
262,50,48000,6-10 years,MORTGAGE,672,11,1,52.2,0,major_purchase,24000,0.09788288693631575,1,0
263,43,42000,3-5 years,MORTGAGE,726,12,1,61.1,0,small_business,21000,0.02,1,0
264,18,44000,10+ years,MORTGAGE,672,6,0,18,3,debt_consolidation,17000,0.09,1,0
265,37,44000,3-5 years,RENT,749,5,0,14.4,0,credit_card,9000,0.094824283581914,0,NA
266,51,106000,< 1 year,MORTGAGE,815,6,0,65.8,1,home_improvement,1000,0.06011887574065968,1,0
267,48,95000,1-2 years,MORTGAGE,569,4,0,27.3,1,home_improvement,23000,0.13427040523322997,0,NA
268,36,65000,6-10 years,MORTGAGE,715,11,1,13.4,3,debt_consolidation,28000,0.10190182904805198,1,0
269,18,43000,6-10 years,MORTGAGE,670,11,2,76.2,0,major_purchase,4000,0.12435805221545704,0,NA
